nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 JOSE ABILIO SILVA DE SANTANA,M,74,0,0,14,10,0, 13/02/1965,247344.95,33227.0,29086.77,,,,,,,,,,0,1108321.75,111465.4,110533.22,110100.41,110786.04,110880.16,111233.47,110081.76,111544.21,110215.8,111481.28,,,33763.0,0
 JOSÉ ALFONSO EBERT HAMM,M,82,1,9,23,15,4, 25/04/1962,355626.33,26704.69,94008.57,,,,,,,,,,0,1113027.42,111586.8,111586.8,111586.8,109249.43,111405.22,111659.59,111016.81,111616.75,111659.61,111659.61,,,33763.0,0
 AÉCIO NEVES DA CUNHA,M,82,0,10,5,9,2, 10/03/1960,277312.3,39186.59,125822.37,,,,,,,,,,0,1060028.98,94326.9,95955.27,100909.09,106586.03,109801.6,110143.24,110143.24,109220.27,111471.67,111471.67,,,33763.0,
 AFONSO BANDEIRA FLORENCE,M,79,0,13,7,15,2, 15/10/1960,323535.74,49117.18,105989.52,,,,,,,,,,0,1113757.81,111448.69,111580.78,111503.72,111580.81,111279.06,111350.26,110053.76,111653.57,111653.58,111653.58,,,33763.0,0
 ACÁCIO DA SILVA FAVACHO NETO,M,62,0,30,7,13,10, 28/09/1983,359004.95,53128.93,118117.63,,,,,,,,,,0,1102803.66,111580.74,110219.17,111580.74,111580.74,111616.38,111344.83,104998.59,107400.25,111241.11,111241.11,,,33763.0,0
 ADRIANO ANTÔNIO AVELAR,M,84,1,7,9,0,0, 06/09/1969,238725.15,26827.37,151852.51,,,,,,,,,,0,1091517.67,109773.26,106916.25,106916.25,107440.95,110064.42,109807.22,110492.94,109977.54,110064.42,110064.42,,,33763.0,0
 PAULO SERGIO ABOU ANNI,M,87,2,3,22,13,1, 06/11/1966,302061.79,27405.24,105770.57,,,,,,,,,,0,1106081.53,110146.28,109221.14,108215.19,111647.46,111647.46,111647.46,111520.66,110906.26,111574.67,109554.95,,,33763.0,0
 ADOLFO VIANA DE CASTRO NETO,M,74,0,18,3,2,0, 02/02/1981,321178.7,52708.8,121422.73,,,,,,,,,,0,1038693.82,99324.67,102260.18,104117.05,105126.72,105126.72,104072.48,102746.18,105126.72,105126.72,105666.38,,,33763.0,0
 AELTON JOSÉ DE FREITAS,M,83,7,2,22,14,2, 15/12/1961,368130.16,37592.87,28889.65,,,,,,,,,,0,1102022.19,111326.04,111343.59,111629.35,111629.35,111457.94,111397.84,107361.35,107874.6,107874.6,110127.53,,,33763.0,0
 AFONSO ANTUNES DA MOTTA,M,90,2,0,33,16,10, 08/01/1950,352096.2,32139.72,99616.58,,,,,,,,,,0,1032442.88,104034.98,104034.98,103913.86,100280.23,99498.32,99974.51,104249.61,105630.26,105630.26,105195.87,,,33763.0,0
 AIRTON LUIZ FALEIRO,M,80,10,2,39,34,1, 16/03/1959,310929.21,35394.75,157812.26,,,,,,,,,,0,1106094.83,110495.06,109093.86,108711.72,110056.29,111289.65,111289.65,111289.65,111289.65,111289.65,111289.65,,,33763.0,0
 AGUINALDO VELLOSO BORGES RIBEIRO,M,69,1,5,14,10,3, 13/02/1969,240198.29,15195.95,58956.03,,,,,,,,,,0,1111197.3,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,,,33763.0,0
 ALENCAR SANTANA BRAGA,M,80,0,12,22,0,1, 14/03/1976,270999.83,34345.52,149284.56,,,,,,,,,,0,1110423.93,111647.56,108748.11,110276.93,111574.82,111574.82,111574.82,111574.82,110900.35,111538.44,111013.26,,,33763.0,0
 ANTONIO JOSE AGUIAR ALBUQUERQUE,M,77,7,8,8,8,4, 26/09/1983,285631.58,20904.41,181337.89,,,,,,,,,,0,1070478.23,111386.57,111386.57,111386.57,111127.78,111422.99,111217.97,109372.75,91130.31,101450.8,100595.92,,,33763.0,0
